Passage,Score,Time,D
3,4,10,Mild
6,0,10,Yes
4,10,10,No
5,10,1,No
6,6,2,Mild
7,0,6,Yes
4,8,2,No
7,2,1,Yes
3,10,8,No
4,4,4,Mild
7,0,8,Yes
5,10,8,No
5,0,8,Yes
1,7.5,10,No
3,6,8,Mild
7,10,8,No
7,6,8,Mild
6,4,2,Mild
6,6,4,Mild
7,10,4,No
3,8,4,No
7,6,4,Mild
6,8,8,No
3,2,6,Yes
7,10,1,No
4,6,4,Mild
2,0,10,Yes
6,4,1,Mild
3,10,2,No
1,5,2,Mild
5,4,10,Mild
7,6,10,Mild
3,10,4,No
7,0,10,Yes
4,2,8,Yes
4,0,1,Yes
6,10,8,No
3,2,4,Yes
3,2,1,Yes
1,7.5,4,No
6,6,8,Mild
7,4,6,Mild
6,2,1,Yes
5,8,8,No
5,8,1,No
1,0,1,Yes
3,10,6,No
2,10,8,No
2,8,6,No
1,2.5,2,Yes
1,10,4,No
1,2.5,6,Yes
1,2.5,1,Yes
5,4,6,Mild
6,10,6,No
5,0,6,Yes
6,0,6,Yes
1,7.5,6,No
7,8,4,No
6,2,8,Yes
5,8,2,No
4,6,2,Mild
4,10,2,No
3,8,6,No
6,8,6,No
5,4,8,Mild
3,6,10,Mild
3,0,10,Yes
3,6,4,Mild
2,10,6,No
6,2,4,Yes
2,4,2,Mild
1,5,1,Mild
4,8,4,No
4,2,1,Yes
4,8,1,No
7,0,1,Yes
2,4,1,Mild
7,8,2,No
5,2,8,Yes
4,2,10,Yes
1,7.5,2,No
6,6,6,Mild
2,6,6,Mild
2,4,4,Mild
6,4,8,Mild
5,8,4,No
3,0,8,Yes
5,10,6,No
4,2,4,Yes
6,6,1,Mild
2,0,1,Yes
2,0,8,Yes
3,10,10,No
1,2.5,8,Yes
4,0,10,Yes
2,2,8,Yes
2,10,2,No
1,7.5,1,No
2,8,1,No
2,10,4,No
4,6,10,Mild
4,10,1,No
3,8,1,No
6,0,4,Yes
5,4,1,Mild
1,0,6,Yes
7,8,8,No
4,6,8,Mild
3,6,6,Mild
1,5,10,Mild
7,10,2,No
5,2,10,Yes
7,4,2,Mild
1,0,10,Yes
1,0,4,Yes
5,2,6,Yes
4,4,1,Mild
7,6,2,Mild
1,2.5,10,Yes
3,0,6,Yes
3,8,8,No
1,5,8,Mild
4,10,6,No
3,2,10,Yes
5,6,2,Mild
3,4,2,Mild
1,10,8,No
6,0,2,Yes
1,5,4,Mild
5,4,4,Mild
6,4,4,Mild
7,6,1,Mild
7,4,4,Mild
5,6,10,Mild
3,2,8,Yes
5,8,6,No
2,4,10,Mild
1,2.5,4,Yes
2,8,10,No
3,6,1,Mild
3,0,2,Yes
4,4,2,Mild
7,2,10,Yes
6,6,10,Mild
2,6,2,Mild
4,8,8,No
4,4,6,Mild
4,10,8,No
4,8,10,No
2,6,10,Mild
6,10,1,No
2,0,2,Yes
6,0,1,Yes
4,10,4,No
3,8,10,No
5,4,2,Mild
3,0,1,Yes
3,2,2,Yes
2,4,8,Mild
4,0,8,Yes
5,2,1,Yes
5,6,8,Mild
7,8,1,No
7,10,10,No
2,0,4,Yes
3,4,8,Mild
4,8,6,No
6,10,4,No
5,0,1,Yes
1,10,2,No
5,6,4,Mild
4,6,1,Mild
2,8,8,No
2,6,8,Mild
2,2,1,Yes
2,4,6,Mild
6,10,2,No
6,8,10,No
1,10,10,No
4,0,4,Yes
6,4,6,Mild
5,8,10,No
7,2,2,Yes
5,2,4,Yes
5,10,10,No
5,0,4,Yes
5,2,2,Yes
1,5,6,Mild
4,2,2,Yes
7,8,6,No
3,10,1,No
7,0,4,Yes
2,2,6,Yes
3,6,2,Mild
3,4,6,Mild
4,4,10,Mild
7,4,8,Mild
3,8,2,No
7,10,6,No
6,2,6,Yes
5,6,1,Mild
6,2,10,Yes
5,6,6,Mild
7,8,10,No
1,7.5,8,No
7,2,6,Yes
2,6,4,Mild
7,2,8,Yes
6,8,1,No
2,8,4,No
5,0,10,Yes
6,8,2,No
1,10,1,No
4,6,6,Mild
7,4,1,Mild
7,0,2,Yes
6,2,2,Yes
2,2,10,Yes
2,2,4,Yes
1,0,8,Yes
4,4,8,Mild
2,0,6,Yes
2,8,2,No
3,0,4,Yes
2,10,10,No
3,4,4,Mild
1,10,6,No
4,2,6,Yes
7,6,6,Mild
3,4,1,Mild
4,0,2,Yes
7,4,10,Mild
6,4,10,Mild
2,10,1,No
5,10,4,No
7,2,4,Yes
6,0,8,Yes
2,6,1,Mild
2,2,2,Yes
5,10,2,No
6,8,4,No
1,0,2,Yes
5,0,2,Yes
4,0,6,Yes
6,10,10,No
